tSNE_1,tSNE_2,KMeans_Profile,Customer_Profile
4.1695395,32.663563,1,5
-42.08922,38.86687,1,1
-52.537846,-8.719349,0,4
72.0092,-13.869441,2,2
51.112103,-15.336447,2,2
-10.673576,41.968018,1,1
49.871937,-3.6320865,3,2
83.5883,-8.23407,2,2
34.898014,-36.908077,3,2
-41.569378,0.9095538,0,4
-17.73632,51.869328,1,5
18.103933,32.07837,1,5
14.563062,54.657925,1,5
17.454062,-35.03442,3,3
2.235066,15.256409,1,5
-42.283592,34.051746,1,5
-41.895092,-30.315563,0,4
-3.1012242,14.902955,1,5
-14.797571,-36.21068,0,4
0.62751865,66.91216,1,1
-45.404358,-12.044726,0,4
-29.769054,-44.220776,0,4
-44.771122,-8.454418,0,4
-7.783364,53.939045,1,1
-53.60982,-17.119366,0,4
-23.472202,59.5804,1,5
-0.3689549,21.286879,1,5
-30.285719,20.678375,1,1
-29.164268,2.2879677,1,1
-27.241297,26.352343,1,5
12.271234,41.18136,1,5
62.044262,-21.532434,2,2
49.212578,1.527896,2,2
1.0139178,52.723957,1,1
48.816822,-19.548113,3,2
19.678516,-0.067700826,3,3
-37.505703,-44.98117,0,4
-42.218063,-24.334929,0,4
5.602606,-1.0737593,3,4
19.504347,43.08631,1,5
-2.9719045,13.050267,1,5
-19.16856,-24.38573,0,3
-3.95966,32.733547,1,5
-19.018116,-56.245575,0,4
-17.386795,-52.04551,0,4
2.7320726,-14.068742,3,3
-25.334608,26.729773,1,5
29.550016,1.7973478,3,3
75.018936,-20.07563,2,2
81.42028,-12.998688,2,2
55.036724,-27.154987,2,2
-24.4302,25.589493,1,1
-8.959686,-24.91188,3,3
-42.545475,-1.8631914,0,1
-7.208894,66.46985,1,1
15.590904,51.541336,1,5
25.665533,7.480318,3,3
-24.483759,-4.6777534,0,4
-28.92407,54.645306,1,1
17.582857,40.4431,1,5
9.814815,53.279827,1,5
